doc_id|title|url|hexagram_img|doc_type|num_paras|total_words|author|year|language|source_url|genre|hexagram_id|canon|modern_name|chinese|english|upper_trigram|upper_trigram_symbol|upper_trigram_element|lower_trigram|lower_trigram_symbol|lower_trigram_element
0|I. The Khien Hexagram|https://sacred-texts.com/ich/ic01.htm|https://sacred-texts.com/ich/img/hex111111.jpg|hexagram|17|1026|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|1|Upper Canon (hex 1-30)|Qian|乾|The Creative|Qian|☰|Heaven|Qian|☰|Heaven
1|II. The Khwăn Hexagram|https://sacred-texts.com/ich/ic02.htm|https://sacred-texts.com/ich/img/hex000000.jpg|hexagram|13|693|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|2|Upper Canon (hex 1-30)|Kun|坤|The Receptive|Kun|☷|Earth|Kun|☷|Earth
2|III. The Kun Hexagram|https://sacred-texts.com/ich/ic03.htm|https://sacred-texts.com/ich/img/hex010001.jpg|hexagram|15|912|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|3|Upper Canon (hex 1-30)|Zhun|屯|Difficulty at the Beginning|Kan|☵|Water|Zhen|☳|Thunder
3|IV. The Măng Hexagram|https://sacred-texts.com/ich/ic04.htm|https://sacred-texts.com/ich/img/hex100010.jpg|hexagram|16|657|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|4|Upper Canon (hex 1-30)|Meng|蒙|Youthful Folly|Gen|☶|Mountain|Kan|☵|Water
4|V. The Hsü Hexagram|https://sacred-texts.com/ich/ic05.htm|https://sacred-texts.com/ich/img/hex010111.jpg|hexagram|16|696|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|5|Upper Canon (hex 1-30)|Xu|需|Waiting|Kan|☵|Water|Qian|☰|Heaven
5|VI. The Sung Hexagram|https://sacred-texts.com/ich/ic06.htm|https://sacred-texts.com/ich/img/hex111010.jpg|hexagram|16|896|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|6|Upper Canon (hex 1-30)|Song|讼|Conflict|Qian|☰|Heaven|Kan|☵|Water
6|VII. The Sze Hexagram|https://sacred-texts.com/ich/ic07.htm|https://sacred-texts.com/ich/img/hex000010.jpg|hexagram|15|795|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|7|Upper Canon (hex 1-30)|Shi|师|The Army|Kun|☷|Earth|Kan|☵|Water
7|VIII. The Pî Hexagram|https://sacred-texts.com/ich/ic08.htm|https://sacred-texts.com/ich/img/hex010000.jpg|hexagram|16|800|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|8|Upper Canon (hex 1-30)|Bi|比|Holding Together|Kan|☵|Water|Kun|☷|Earth
8|IX. The HsiâoKhû Hexagram|https://sacred-texts.com/ich/ic09.htm|https://sacred-texts.com/ich/img/hex110111.jpg|hexagram|16|859|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|9|Upper Canon (hex 1-30)|Xiao Xu|小畜|Small Taming|Xun|☴|Wind|Qian|☰|Heaven
9|X. The Lî Hexagram|https://sacred-texts.com/ich/ic10.htm|https://sacred-texts.com/ich/img/hex111011.jpg|hexagram|15|668|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|10|Upper Canon (hex 1-30)|Li|履|Treading|Qian|☰|Heaven|Dui|☱|Lake
10|XI. The Thâi Hexagram|https://sacred-texts.com/ich/ic11.htm|https://sacred-texts.com/ich/img/hex000111.jpg|hexagram|16|1058|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|11|Upper Canon (hex 1-30)|Tai|泰|Peace|Kun|☷|Earth|Qian|☰|Heaven
11|XII. The Phî Hexagram|https://sacred-texts.com/ich/ic12.htm|https://sacred-texts.com/ich/img/hex111000.jpg|hexagram|16|582|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|12|Upper Canon (hex 1-30)|Pi|否|Standstill|Qian|☰|Heaven|Kun|☷|Earth
12|XIII. The ThungZăn|https://sacred-texts.com/ich/ic13.htm|https://sacred-texts.com/ich/img/hex111101.jpg|hexagram|16|615|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|13|Upper Canon (hex 1-30)|Tong Ren|同人|Fellowship|Qian|☰|Heaven|Li|☲|Fire
13|XIV. The Tâ Yû Hexagram|https://sacred-texts.com/ich/ic14.htm|https://sacred-texts.com/ich/img/hex101111.jpg|hexagram|14|489|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|14|Upper Canon (hex 1-30)|Da You|大有|Great Possession|Li|☲|Fire|Qian|☰|Heaven
14|XV. The Khien Hexagram|https://sacred-texts.com/ich/ic15.htm|https://sacred-texts.com/ich/img/hex000100.jpg|hexagram|15|461|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|15|Upper Canon (hex 1-30)|Qian|谦|Modesty|Kun|☷|Earth|Gen|☶|Mountain
15|XVI. The Yü Hexagram|https://sacred-texts.com/ich/ic16.htm|https://sacred-texts.com/ich/img/hex001000.jpg|hexagram|15|556|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|16|Upper Canon (hex 1-30)|Yu|豫|Enthusiasm|Zhen|☳|Thunder|Kun|☷|Earth
16|XVII. The Sui Hexagram|https://sacred-texts.com/ich/ic17.htm|https://sacred-texts.com/ich/img/hex011001.jpg|hexagram|14|638|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|17|Upper Canon (hex 1-30)|Sui|随|Following|Dui|☱|Lake|Zhen|☳|Thunder
17|XVIII. The Kû Hexagram|https://sacred-texts.com/ich/ic18.htm|https://sacred-texts.com/ich/img/hex100110.jpg|hexagram|16|872|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|18|Upper Canon (hex 1-30)|Gu|蛊|Work on the Decayed|Gen|☶|Mountain|Xun|☴|Wind
18|XIX. The Lin Hexagram|https://sacred-texts.com/ich/ic19.htm|https://sacred-texts.com/ich/img/hex000011.jpg|hexagram|15|721|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|19|Upper Canon (hex 1-30)|Lin|临|Approach|Kun|☷|Earth|Dui|☱|Lake
19|XX. The Kwân Hexagram|https://sacred-texts.com/ich/ic20.htm|https://sacred-texts.com/ich/img/hex110000.jpg|hexagram|16|550|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|20|Upper Canon (hex 1-30)|Guan|观|Contemplation|Xun|☴|Wind|Kun|☷|Earth
20|XXI. The Shih Ho Hexagram|https://sacred-texts.com/ich/ic21.htm|https://sacred-texts.com/ich/img/hex101001.jpg|hexagram|14|751|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|21|Upper Canon (hex 1-30)|Shi He|噬嗑|Biting Through|Li|☲|Fire|Zhen|☳|Thunder
21|XXII. The Pî Hexagram|https://sacred-texts.com/ich/ic22.htm|https://sacred-texts.com/ich/img/hex100101.jpg|hexagram|14|657|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|22|Upper Canon (hex 1-30)|Bi|贲|Grace|Gen|☶|Mountain|Li|☲|Fire
22|XXIII. The Po Hexagram|https://sacred-texts.com/ich/ic23.htm|https://sacred-texts.com/ich/img/hex100000.jpg|hexagram|14|661|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|23|Upper Canon (hex 1-30)|Bo|剥|Splitting Apart|Gen|☶|Mountain|Kun|☷|Earth
23|XXIV. The Fû Hexagram|https://sacred-texts.com/ich/ic24.htm|https://sacred-texts.com/ich/img/hex000001.jpg|hexagram|18|873|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|24|Upper Canon (hex 1-30)|Fu|复|Return|Kun|☷|Earth|Zhen|☳|Thunder
24|XXV: The Wû Wang Hexagram|https://sacred-texts.com/ich/ic25.htm|https://sacred-texts.com/ich/img/hex111001.jpg|hexagram|16|606|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|25|Upper Canon (hex 1-30)|Wu Wang|无妄|Innocence|Qian|☰|Heaven|Zhen|☳|Thunder
25|XXVI. The Tâ Khû Hexagram|https://sacred-texts.com/ich/ic26.htm|https://sacred-texts.com/ich/img/hex100111.jpg|hexagram|16|616|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|26|Upper Canon (hex 1-30)|Da Xu|大畜|Great Taming|Gen|☶|Mountain|Qian|☰|Heaven
26|XXVII. The Î Hexagram|https://sacred-texts.com/ich/ic27.htm|https://sacred-texts.com/ich/img/hex100001.jpg|hexagram|14|744|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|27|Upper Canon (hex 1-30)|Yi|颐|Nourishment|Gen|☶|Mountain|Zhen|☳|Thunder
27|XXVIII. The Tâ Kwo Hexagram|https://sacred-texts.com/ich/ic28.htm|https://sacred-texts.com/ich/img/hex011110.jpg|hexagram|16|631|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|28|Upper Canon (hex 1-30)|Da Guo|大过|Great Excess|Dui|☱|Lake|Xun|☴|Wind
28|XXIX. The Khan Hexagram|https://sacred-texts.com/ich/ic29.htm|https://sacred-texts.com/ich/img/hex010010.jpg|hexagram|16|675|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|29|Upper Canon (hex 1-30)|Kan|坎|The Abysmal|Kan|☵|Water|Kan|☵|Water
29|XXX. The Lî Hexagram|https://sacred-texts.com/ich/ic30.htm|https://sacred-texts.com/ich/img/hex101101.jpg|hexagram|15|716|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|30|Upper Canon (hex 1-30)|Li|离|The Clinging / Fire|Li|☲|Fire|Li|☲|Fire
30|XXXI. The Hsien Hexagram|https://sacred-texts.com/ich/ic31.htm|https://sacred-texts.com/ich/img/hex011100.jpg|hexagram|18|1062|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|31|Lower Canon (hex 31-64)|Xian|咸|Influence|Dui|☱|Lake|Gen|☶|Mountain
31|XXXII. The Hăng Hexagram|https://sacred-texts.com/ich/ic32.htm|https://sacred-texts.com/ich/img/hex001110.jpg|hexagram|15|591|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|32|Lower Canon (hex 31-64)|Heng|恒|Duration|Zhen|☳|Thunder|Xun|☴|Wind
32|XXXIII. The Thun Hexagram|https://sacred-texts.com/ich/ic33.htm|https://sacred-texts.com/ich/img/hex111100.jpg|hexagram|14|532|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|33|Lower Canon (hex 31-64)|Dun|遯|Retreat|Qian|☰|Heaven|Gen|☶|Mountain
33|XXXIV. The TâKwang Hexagram|https://sacred-texts.com/ich/ic34.htm|https://sacred-texts.com/ich/img/hex001111.jpg|hexagram|15|667|James Legge|1899|English|https://sacred-texts.com/ich/index.htm|Philosophical/Divination|34|Lower Canon (hex 31-64)|Da Zhuang|大壮|Great Power|Zhen|☳|Thunder|Qian|☰|Heaven
